,time,open,high,low,close,tick_volume,spread,real_volume,ema_7,ema_21,ema_89,ema_200,time_sin,time_cos,price_diff,trendline_7,trendline_21,trendline_89,trendline_200,trend_7,trend_21,trend_89,trend_200,close_minus_trendline_7,close_minus_trendline_21,close_minus_trendline_89,close_minus_trendline_200,close_minus_ema7,close_minus_ema21,close_minus_ema89,close_minus_ema200
46,2011-03-18,1409.27,1423.59,1405.71,1418.16,37391,50,0,1411.6815297281078,1407.349778185621,1383.6445261376734,1377.4788735898715,0.0,1.0,16.060000000000173,1406.5842857142854,1418.9544155844158,0.0,0.0,1,-1,-1,-1,11.57571428571464,-0.794415584415674,0.0,0.0,6.47847027189232,10.81022181437902,34.515473862326644,40.68112641012863
47,2011-03-21,1424.28,1434.65,1423.61,1426.75,13798,50,0,1415.4486472960807,1409.113434714201,1384.6024255568361,1377.9691335541513,0.0,1.0,8.589999999999918,1414.56,1418.7570129870128,0.0,0.0,1,-1,-1,-1,12.190000000000055,7.992987012987214,0.0,0.0,11.301352703919292,17.63656528579895,42.147574443163876,48.78086644584869
48,2011-03-22,1427.35,1431.93,1419.32,1428.31,17610,50,0,1418.6639854720606,1410.85857701291,1385.5737049889065,1378.470037697891,0.0,1.0,1.5599999999999454,1423.2635714285711,1419.8841125541126,0.0,0.0,1,1,-1,-1,5.046428571428805,8.425887445887383,0.0,0.0,9.646014527939315,17.451422987089927,42.73629501109349,49.839962302108916
49,2011-03-23,1426.96,1440.75,1425.51,1437.75,13992,50,0,1423.4354891040455,1413.3032518299183,1386.7331782113752,1379.0598880690563,0.0,1.0,9.440000000000055,1437.068214285714,1421.7233333333331,0.0,0.0,1,1,-1,-1,0.6817857142859793,16.02666666666687,0.0,0.0,14.314510895954527,24.44674817008172,51.01682178862484,58.69011193094366
50,2011-03-24,1437.65,1447.4,1423.8,1430.75,15512,50,0,1425.264116828034,1414.8893198453802,1387.711329806678,1379.5742175410062,0.0,1.0,-7.0,1439.2653571428566,1423.0064069264067,0.0,0.0,1,1,-1,-1,-8.515357142856601,7.743593073593274,0.0,0.0,5.485883171965952,15.860680154619786,43.038670193322105,51.17578245899381
51,2011-03-25,1432.5,1437.7,1422.35,1429.32,15086,50,0,1426.2780876210254,1416.2011998594367,1388.6359669220851,1380.069200451046,0.0,1.0,-1.4300000000000637,1437.3599999999994,1422.9421212121217,0.0,0.0,-1,-1,-1,-1,-8.039999999999509,6.377878787878217,0.0,0.0,3.04191237897453,13.11880014056328,40.68403307791482,49.250799548953864
52,2011-03-28,1424.9,1427.95,1410.08,1419.92,19710,50,0,1424.688565715769,1416.5392725994877,1389.3311676571498,1380.4657258196926,0.0,1.0,-9.399999999999864,1428.6578571428572,1421.5921645021638,0.0,0.0,-1,-1,-1,-1,-8.737857142857138,-1.672164502163696,0.0,0.0,-4.768565715769,3.3807274005123418,30.58883234285031,39.45427418030749
53,2011-03-29,1420.42,1423.0,1410.95,1418.15,18171,50,0,1423.0539242868267,1416.6857023631708,1389.9715861536577,1380.8406937219843,0.0,1.0,-1.7699999999999818,1421.813214285714,1419.8935497835496,0.0,0.0,-1,-1,-1,-1,-3.6632142857138206,-1.743549783549497,0.0,0.0,-4.903924286826623,1.4642976368293148,28.178413846342437,37.30930627801581
54,2011-03-30,1416.78,1429.8,1411.8,1422.6,18458,50,0,1422.94044321512,1417.2233657847005,1390.6966620169096,1381.2562092073379,0.0,1.0,4.449999999999818,1419.4899999999998,1420.9772727272723,0.0,0.0,-1,1,-1,-1,3.1100000000001273,1.6227272727276159,0.0,0.0,-0.34044321512010356,5.376634215299418,31.903337983090296,41.34379079266205
55,2011-03-31,1423.2,1439.3,1420.25,1431.9,17917,50,0,1425.1803324113398,1418.5576052588187,1391.6122917498672,1381.7601275236827,0.0,1.0,9.300000000000182,1422.3749999999998,1423.9514718614716,0.0,0.0,1,1,-1,-1,9.525000000000318,7.948528138528445,0.0,0.0,6.719667588660286,13.342394741181351,40.28770825013294,50.13987247631735
